key,en,pt-BR,jp,es
TITLE_TEXT,Rail Roller,Rail Roller,レールローラー,Rail Roller
START_TEXT, Start , Início , 開始 , Inicio 
LOAD_TEXT, Load , Carregar, ロード , Cargar
LOAD_MENU,Load game,Carregar jogo,ロード,Cargar Juego
NO_SAVE_FILE,No save detected,Sem arquivo,セーブ不存在,No hay archivo
OPTIONS_TEXT, Options , Opções , オプション , Opciones 
OPTIONS_MENU,Options,Opções,オプション,Opciones
SELECT_LANGUAGE_TEXT, Select Language, Selectionar Idioma, 言語選択, Seleccionar Idioma
SWAP_RULE_TEXT, Swap Rule, Regra de troca, 出発地チェンジ, Regla de Combiar
SHOW_REGION_TEXT, Always Show Regions, Sempre Mostrar Regiões, 地域を見せる, Siempre Mostrar Regiones
LANGUAGE_MENU_TEXT,Language,Idioma,言語,Idioma
SAVE_GAME,Save,Salvar,保存,Guardar
EXIT_APPLICATION,Quit,Sair,終了,Salir
QUIT_TEXT, Quit , Sair , 終了 , Salir 
HOME_CITY_TEXT,Home City,Cidade natal,出身地,Ciudad natal
PREVIOUS_DESTINATION_TEXT,Previous Destination,Destino anterior,出発地,Destino anterior
CURRENT_DESTINATION_TEXT,Current Destination,Próximo destino,目的地,Próximo destino
REWARD_TEXT,Reward,Recompensa,報酬 ,Recompensa
SWAP_HOME,Swap,Trocar,出身地,Cambiar
HOW_MANY_PLAYERS_TEXT,How many players?,Quantos jogadores?,何人？,Cuantos jugadores?
CHOOSE_REGION_TEXT,Choose a region,Escolha uma regiao,地域を選べなさい,Elige una región
ENTER_NAME_TEXT,Enter player name,Nome do jogador,プレイヤー名,Nombre del jugador
CHOOSE_COLOR, Player color, Escolha uma Cor,色, Elige un color
DESTINATION_KEY,Keybinds ,Controles,           操作キー,Controles
PRIMARY,Primary ,Primário,第一,Primario
SECONDARY,Secondary ,Secudário,第二,Secundario
PLAYER_1,Player 1,Jogador 1,P1,Jugador 1
PLAYER_2,Player 2,Jogador 2,P2,Jugador 2
PLAYER_3,Player 3,Jogador 3,P3,Jugador 3
PLAYER_4,Player 4,Jogador 4,P4,Jugador 4
PLAYER_5,Player 5,Jogador 5,P5,Jugador 5
PLAYER_6,Player 6,Jogador 6,P6,Jugador 6
READY,Ready,Pronto,準備,Listo
CHANGE_PLAYER_INFO,Change player info,Voltar,戻る,Volver
